lang,author,period,year,title,variant,rep,n_ipi,alpha,beta,winner,weibull_delta_aic,geometric_delta_aic,nbinom_delta_aic,lognormal_delta_aic
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,47,54768,0.9946572056676622,6.587489978007206,nbinom,0.6242298010620289,0.9194633784936741,0.0,9661.750378361205
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,48,54768,0.9993746909287515,6.6011646805851205,geometric,1.9686882678652182,0.0,1.9666541742626578,9824.779906851414
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,49,54768,0.9967848805408331,6.5936070938589815,geometric,1.1655216739163734,0.0,1.4665694602881558,9545.612171948014
en,dickens,middle,1850,David_Copperfield,real,0,63079,1.6247218026958583,7.006776880862054,lognormal,2136.5330405945424,22392.694816318224,1170.4227111933287,0.0
en,dickens,middle,1850,David_Copperfield,shuffled,0,63079,1.0017966042117399,6.234123665697095,geometric,1.7045172231155448,0.0,1.5754599150968716,10890.870383654896
en,dickens,middle,1850,David_Copperfield,shuffled,1,63079,0.997452145167469,6.222539939040018,geometric,1.405235797923524,0.0,1.2847242668503895,11161.302974046615
en,dickens,middle,1850,David_Copperfield,shuffled,2,63079,1.0015451215557116,6.233507682521363,geometric,1.782110076979734,0.0,1.8033620136557147,11055.169763032347
en,dickens,middle,1850,David_Copperfield,shuffled,3,63079,1.0004244651603453,6.230632041372382,geometric,1.9834974541445263,0.0,1.95023466902785,10961.114796158392
en,dickens,middle,1850,David_Copperfield,shuffled,4,63079,0.9998138443415847,6.228958672868707,geometric,1.9968381834914908,0.0,1.955787228886038,11327.173247892759
en,dickens,middle,1850,David_Copperfield,shuffled,5,63079,0.9934431097736063,6.211552674254872,nbinom,1.064891662041191,3.012617965170648,0.0,11307.282246123941
en,dickens,middle,1850,David_Copperfield,shuffled,6,63079,0.9951297587849934,6.2162309815122025,weibull,0.0,0.1835841565625742,0.13276170653989539,11040.873034680437
en,dickens,middle,1850,David_Copperfield,shuffled,7,63079,0.9933489331671819,6.211370928282967,weibull,0.0,2.102248843992129,1.1987404093379155,10743.236654113512
en,dickens,middle,1850,David_Copperfield,shuffled,8,63079,1.0006938805224204,6.231101092285691,geometric,1.955949647934176,0.0,1.9328771798172966,11062.542805452948
en,dickens,middle,1850,David_Copperfield,shuffled,9,63079,0.9983590965882474,6.224730520771442,geometric,1.7527513899840415,0.0,1.8015400568256155,10951.94857953873
en,dickens,middle,1850,David_Copperfield,shuffled,10,63079,0.9998316116590975,6.228815557883005,geometric,1.9974035452469252,0.0,1.9984364781994373,11138.593326557195
en,dickens,middle,1850,David_Copperfield,shuffled,11,63079,1.0030000085342463,6.237343127093167,geometric,1.1830785693600774,0.0,1.515725644887425,11346.616321167676
en,dickens,middle,1850,David_Copperfield,shuffled,12,63079,1.0049267818348633,6.242688982781441,nbinom,0.27973078563809395,0.4930994202150032,0.0,10867.49476801738
en,dickens,middle,1850,David_Copperfield,shuffled,13,63079,0.9977092812510246,6.223270869993508,geometric,1.5176838680636138,0.0,1.5625578506151214,10789.689339132281
en,dickens,middle,1850,David_Copperfield,shuffled,14,63079,0.995177233204981,6.216299636864635,weibull,0.0,0.14085519907530397,0.0037897363654337823,11040.296847632853
en,dickens,middle,1850,David_Copperfield,shuffled,15,63079,0.99934143639182,6.227352858864439,geometric,1.9603145477594808,0.0,1.915784202865325,10979.605761823594
en,dickens,middle,1850,David_Copperfield,shuffled,16,63079,0.9952911930890823,6.2167409694397815,weibull,0.0,0.043896090355701745,0.28820496768457815,10935.30245475081
en,dickens,middle,1850,David_Copperfield,shuffled,17,63079,0.9989940390532985,6.226653867059712,geometric,1.907222912821453,0.0,1.8970674055744894,10946.77799027221
en,dickens,middle,1850,David_Copperfield,shuffled,18,63079,0.9968643221656595,6.220757166661562,geometric,1.098440324945841,0.0,0.9001811964553781,11157.822196562192
en,dickens,middle,1850,David_Copperfield,shuffled,19,63079,0.9948479574638835,6.215000241521501,nbinom,0.7237934307195246,1.1583038180833682,0.0,11214.165419443627
en,dickens,middle,1850,David_Copperfield,shuffled,20,63079,0.9999953348507373,6.229414613533539,geometric,1.9999980635475367,0.0,1.9924187391879968,10909.995660898625
en,dickens,middle,1850,David_Copperfield,shuffled,21,63079,0.9990562981696085,6.2269324342888765,geometric,1.9183652080828324,0.0,1.9492643021512777,11048.56444590271
en,dickens,middle,1850,David_Copperfield,shuffled,22,63079,1.00413545222249,6.240561317621622,geometric,0.43819564225850627,0.0,0.07773823337629437,10799.091390999383
en,dickens,middle,1850,David_Copperfield,shuffled,23,63079,1.0006218814088224,6.231178646631303,geometric,1.964586980524473,0.0,1.9363564671948552,10971.874247091182
en,dickens,middle,1850,David_Copperfield,shuffled,24,63079,1.0037138704147668,6.239422533085641,geometric,0.7434062783722766,0.0,0.7757488083443604,11013.265252206242
en,dickens,middle,1850,David_Copperfield,shuffled,25,63079,1.0049788524226217,6.242683556468432,nbinom,0.3066797954379581,0.5670510501367971,0.0,10893.403299312457
en,dickens,middle,1850,David_Copperfield,shuffled,26,63079,1.0021686973822037,6.235060496113048,geometric,1.5712695110123605,0.0,1.6160709746181965,11199.361691791448
en,dickens,middle,1850,David_Copperfield,shuffled,27,63079,1.0020526919290749,6.234995375112353,geometric,1.615029992419295,0.0,1.5517410265747458,11001.047325941268
en,dickens,middle,1850,David_Copperfield,shuffled,28,63079,0.996149973135842,6.219089762877347,geometric,0.6367344498867169,0.0,0.7648494028835557,11035.260662216984
en,dickens,middle,1850,David_Copperfield,shuffled,29,63079,0.9938878943156619,6.212814199021565,weibull,0.0,1.4509045636514202,0.2127296928083524,10717.892009316536
en,dickens,middle,1850,David_Copperfield,shuffled,30,63079,0.9988853684170029,6.226411916597488,geometric,1.8864295859239064,0.0,1.8211992379510775,11168.235156743787
en,dickens,middle,1850,David_Copperfield,shuffled,31,63079,1.000323041459228,6.230343597527533,geometric,1.9904485029401258,0.0,1.9850677457870916,10916.874663692142
